Wall time,Step,Value
1693907574.8661864,2048,5.909278392791748
1693907586.246449,3072,5.909278392791748
1693907597.3634117,4096,6.823577404022217
1693907608.6119292,5120,6.823577404022217
1693907619.741911,6144,6.445812225341797
1693907630.8769436,7168,6.445812225341797
1693907642.625475,8192,6.379941463470459
1693907653.769146,9216,6.379941463470459
1693907665.3678591,10240,6.308894157409668
1693907676.8813066,11264,6.308894157409668
1693907688.1021054,12288,6.798917293548584
1693907699.1023703,13312,6.798917293548584
1693907710.4818704,14336,6.6735310554504395
1693907721.7442625,15360,6.6735310554504395
1693907733.0021896,16384,6.7103681564331055
1693907744.1618912,17408,6.7103681564331055
1693907755.3478389,18432,6.912363529205322
1693907766.5969706,19456,6.912363529205322
1693907777.97975,20480,7.261100769042969
1693907789.5303853,21504,7.261100769042969
1693907800.710773,22528,6.837785243988037
1693907811.8620818,23552,6.837785243988037
1693907823.2214096,24576,6.906827449798584
1693907834.6318538,25600,6.869420051574707
1693907845.8203316,26624,7.2894606590271
1693907857.3013074,27648,7.312531471252441
1693907868.7616453,28672,7.455687999725342
1693907879.9894097,29696,7.678887844085693
1693907891.2545924,30720,7.7474517822265625
1693907902.798409,31744,7.789577007293701
1693907914.028288,32768,8.1432466506958
1693907925.6246684,33792,8.207633018493652
1693907936.9689007,34816,8.244654655456543
1693907948.3691423,35840,8.281764030456543
1693907959.679198,36864,8.288909912109375
1693907970.9167628,37888,8.270820617675781
1693907982.2327008,38912,8.360274314880371
1693907993.4694464,39936,8.25485610961914
1693908005.0104873,40960,8.13223648071289
1693908016.9185777,41984,8.041994094848633
1693908028.6184833,43008,8.06782054901123
1693908040.1721616,44032,8.11080551147461
1693908051.503092,45056,8.137720108032227
1693908062.9088895,46080,8.296525955200195
1693908074.3923445,47104,8.300110816955566
1693908085.828928,48128,8.396811485290527
1693908097.5693653,49152,8.603266716003418
1693908109.5412626,50176,8.75423526763916
1693908120.8113456,51200,8.762699127197266
1693908132.2658079,52224,8.95677375793457
1693908143.6760142,53248,9.0106201171875
1693908155.021309,54272,9.114757537841797
1693908166.6196434,55296,9.037808418273926
1693908178.315569,56320,9.146544456481934
1693908189.6733415,57344,9.108942031860352
1693908200.812828,58368,8.836585998535156
1693908212.039808,59392,8.721711158752441
1693908223.6248302,60416,8.597867012023926
1693908234.9118538,61440,8.655720710754395
1693908246.433859,62464,8.689475059509277
1693908258.048965,63488,8.71806526184082
1693908269.6632955,64512,8.556557655334473
1693908281.029535,65536,8.516592025756836
1693908292.4020834,66560,8.575568199157715
1693908303.785861,67584,8.625795364379883
1693908315.0969574,68608,8.711609840393066
1693908326.57347,69632,8.827230453491211
1693908337.9585805,70656,9.02534008026123
1693908349.4539466,71680,9.121519088745117
1693908360.9207168,72704,9.104290962219238
1693908372.4019933,73728,8.968576431274414
1693908383.7185905,74752,9.231502532958984
1693908395.1534677,75776,9.127084732055664
1693908406.691805,76800,9.339031219482422
1693908417.809864,77824,9.339031219482422
1693908429.4477334,78848,9.624317169189453
1693908440.6920302,79872,9.624317169189453
1693908452.022186,80896,9.61468505859375
1693908463.32336,81920,9.61468505859375
1693908474.7362468,82944,9.69927978515625
1693908486.064288,83968,9.69927978515625
1693908497.6639338,84992,9.717360496520996
1693908508.8583877,86016,9.717360496520996
1693908520.3057,87040,9.592442512512207
1693908531.503738,88064,9.592442512512207
1693908543.010508,89088,9.46263313293457
1693908553.9124272,90112,9.46263313293457
1693908565.0970197,91136,9.685330390930176
1693908576.6967328,92160,9.685330390930176
1693908588.4633355,93184,9.943321228027344
1693908599.6693058,94208,9.943321228027344
1693908611.144607,95232,10.01962947845459
1693908622.4560144,96256,10.01962947845459
1693908633.9439507,97280,10.222067832946777
1693908645.0307162,98304,10.222067832946777
1693908656.3621843,99328,10.719303131103516
1693908667.55143,100352,10.719303131103516
1693908679.2933211,101376,10.748358726501465
1693908690.8475757,102400,11.003800392150879
1693908702.4832377,103424,11.003800392150879
1693908714.1545522,104448,11.148025512695312
1693908725.6852214,105472,11.148025512695312
1693908737.0459473,106496,10.743866920471191
1693908748.2417736,107520,10.743866920471191
1693908759.6775854,108544,10.170270919799805
1693908770.9488256,109568,10.170270919799805
1693908782.3499641,110592,10.042312622070312
1693908793.6793756,111616,10.042312622070312
1693908805.1600652,112640,9.763568878173828
1693908816.4061928,113664,9.763568878173828
1693908827.8690245,114688,9.866671562194824
1693908839.054396,115712,9.866671562194824
1693908850.424753,116736,10.212608337402344
1693908861.941416,117760,10.212608337402344
1693908873.223522,118784,10.017640113830566
1693908884.4331415,119808,10.017640113830566
1693908895.8915527,120832,10.107495307922363
1693908907.2805526,121856,10.107495307922363
1693908918.8676517,122880,9.787436485290527
1693908930.0294988,123904,9.787436485290527
1693908941.722761,124928,10.089944839477539
1693908953.174307,125952,10.089944839477539
1693908964.388681,126976,9.97275161743164
1693908975.7480173,128000,10.2213716506958
1693908987.1922357,129024,10.433178901672363
1693908998.285382,130048,10.521676063537598
1693909009.8663645,131072,10.752986907958984
1693909021.2271385,132096,10.87631893157959
1693909032.6750157,133120,11.120498657226562
1693909043.9090576,134144,11.144736289978027
1693909055.140525,135168,10.89262580871582
1693909066.5656533,136192,11.05599308013916
1693909078.246703,137216,11.448678016662598
1693909089.6755025,138240,11.316316604614258
1693909101.1583183,139264,11.29186725616455
1693909112.7659163,140288,11.14902114868164
1693909124.1288874,141312,10.976239204406738
1693909135.5212414,142336,10.893430709838867
1693909147.0019276,143360,10.83458423614502
1693909158.160004,144384,10.781598091125488
1693909169.46407,145408,10.611483573913574
1693909180.8723981,146432,10.626810073852539
1693909192.5002372,147456,10.280415534973145
1693909203.7934592,148480,10.24228572845459
1693909215.420962,149504,10.343850135803223
1693909226.9557066,150528,10.41610050201416
1693909238.1780927,151552,10.607012748718262
1693909250.026617,152576,10.495784759521484
1693909261.4173944,153600,10.474064826965332
1693909272.7961812,154624,10.55853271484375
1693909284.3119302,155648,10.56322956085205
1693909295.9145327,156672,10.8884859085083
1693909307.7828014,157696,10.983223915100098
1693909319.0514348,158720,11.167729377746582
1693909330.201424,159744,11.257702827453613
