Algorithm;TryNr;InstanceNr;FitnessWorkload;FitnessDeadline;RandomSeed;BestChromosome
nsga2;0;1;0.3795078908661266;-1122.0;91483;"['job34' 'job35' 'job40' 'job1' 'job50' 'job16' 'job11' 'job32' 'job45'
 'job6' 'job44' 'job20' 'job17' 'job41' 'job47' 'job25' 'job0' 'job30'
 'job29' 'job12' 'job2' 'job4' 'job46' 'job28' 'job9' 'job15' 'job10'
 'job19' 'job27' 'job24' 'job22' 'job31' 'job51' 'job26' 'job49' 'job13'
 'job43' 'job5' 'job33' 'job7' 'job38' 'job3' 'job21' 'job8' 'job36'
 'job37' 'job14' 'job39' 'job48' 'job52' 'job18' 'job23' 'job42']"
nsga2;1;1;0.41378607855902777;-1150.0;304356;"['job8' 'job30' 'job11' 'job35' 'job9' 'job39' 'job16' 'job6' 'job0'
 'job21' 'job49' 'job51' 'job47' 'job15' 'job26' 'job32' 'job33' 'job45'
 'job50' 'job41' 'job31' 'job46' 'job40' 'job22' 'job43' 'job42' 'job38'
 'job23' 'job29' 'job24' 'job34' 'job1' 'job19' 'job25' 'job18' 'job28'
 'job10' 'job27' 'job7' 'job36' 'job44' 'job17' 'job5' 'job37' 'job2'
 'job4' 'job48' 'job12' 'job52' 'job13' 'job20' 'job3' 'job14']"
nsga2;2;1;0.38416971088927465;-1130.0;37680;"['job50' 'job6' 'job4' 'job42' 'job33' 'job3' 'job13' 'job15' 'job8'
 'job46' 'job7' 'job22' 'job29' 'job32' 'job38' 'job16' 'job18' 'job43'
 'job11' 'job48' 'job12' 'job40' 'job21' 'job51' 'job24' 'job0' 'job34'
 'job9' 'job23' 'job28' 'job44' 'job45' 'job2' 'job20' 'job27' 'job10'
 'job39' 'job49' 'job5' 'job35' 'job17' 'job52' 'job19' 'job30' 'job47'
 'job37' 'job41' 'job26' 'job36' 'job31' 'job25' 'job1' 'job14']"
nsga2;3;1;0.44169514973958335;-1124.0;94768;"['job43' 'job28' 'job39' 'job33' 'job41' 'job27' 'job31' 'job0' 'job44'
 'job45' 'job29' 'job36' 'job15' 'job26' 'job24' 'job13' 'job16' 'job38'
 'job50' 'job35' 'job10' 'job3' 'job23' 'job4' 'job18' 'job9' 'job5'
 'job37' 'job22' 'job34' 'job25' 'job30' 'job46' 'job2' 'job48' 'job40'
 'job49' 'job11' 'job42' 'job51' 'job14' 'job1' 'job17' 'job8' 'job7'
 'job32' 'job12' 'job52' 'job21' 'job20' 'job6' 'job47' 'job19']"
nsga2;4;1;0.4320315212673611;-1106.0;229105;"['job34' 'job11' 'job26' 'job50' 'job15' 'job47' 'job12' 'job35' 'job7'
 'job32' 'job6' 'job43' 'job36' 'job21' 'job0' 'job44' 'job28' 'job18'
 'job9' 'job38' 'job22' 'job5' 'job16' 'job31' 'job3' 'job23' 'job42'
 'job2' 'job39' 'job48' 'job13' 'job52' 'job14' 'job8' 'job45' 'job19'
 'job30' 'job27' 'job51' 'job29' 'job41' 'job33' 'job40' 'job4' 'job24'
 'job49' 'job20' 'job17' 'job10' 'job25' 'job1' 'job37' 'job46']"
nsga2;5;1;0.3535180664062499;-1147.0;228663;"['job42' 'job2' 'job26' 'job44' 'job3' 'job33' 'job5' 'job37' 'job12'
 'job49' 'job22' 'job4' 'job38' 'job40' 'job8' 'job0' 'job39' 'job19'
 'job48' 'job9' 'job23' 'job52' 'job27' 'job10' 'job31' 'job15' 'job18'
 'job21' 'job46' 'job17' 'job45' 'job16' 'job36' 'job50' 'job34' 'job7'
 'job14' 'job25' 'job51' 'job24' 'job41' 'job6' 'job43' 'job35' 'job28'
 'job13' 'job20' 'job30' 'job47' 'job32' 'job1' 'job29' 'job11']"
nsga2;6;1;0.4489553493923612;-1158.0;474534;"['job43' 'job51' 'job20' 'job18' 'job49' 'job38' 'job32' 'job48' 'job36'
 'job26' 'job9' 'job14' 'job11' 'job34' 'job4' 'job3' 'job10' 'job30'
 'job50' 'job46' 'job44' 'job40' 'job21' 'job35' 'job22' 'job31' 'job25'
 'job33' 'job0' 'job13' 'job12' 'job5' 'job29' 'job16' 'job39' 'job6'
 'job2' 'job41' 'job1' 'job15' 'job19' 'job37' 'job45' 'job27' 'job7'
 'job28' 'job52' 'job17' 'job8' 'job24' 'job47' 'job23' 'job42']"
nsga2;7;1;0.3741444830246914;-1122.0;184364;"['job24' 'job5' 'job36' 'job10' 'job3' 'job47' 'job34' 'job19' 'job4'
 'job27' 'job42' 'job52' 'job40' 'job9' 'job15' 'job28' 'job11' 'job8'
 'job1' 'job2' 'job38' 'job37' 'job22' 'job26' 'job43' 'job17' 'job12'
 'job25' 'job16' 'job39' 'job29' 'job48' 'job6' 'job0' 'job13' 'job21'
 'job32' 'job44' 'job45' 'job31' 'job23' 'job46' 'job33' 'job49' 'job14'
 'job50' 'job35' 'job41' 'job18' 'job30' 'job20' 'job51' 'job7']"
nsga2;8;1;0.4016835455246914;-1140.0;178552;"['job24' 'job17' 'job49' 'job48' 'job18' 'job0' 'job46' 'job8' 'job40'
 'job42' 'job29' 'job6' 'job26' 'job51' 'job33' 'job9' 'job36' 'job44'
 'job5' 'job32' 'job38' 'job37' 'job22' 'job4' 'job7' 'job28' 'job35'
 'job15' 'job30' 'job23' 'job27' 'job25' 'job16' 'job45' 'job14' 'job2'
 'job1' 'job13' 'job50' 'job19' 'job3' 'job39' 'job10' 'job20' 'job34'
 'job43' 'job12' 'job52' 'job21' 'job31' 'job41' 'job47' 'job11']"
nsga2;9;1;0.32397593557098764;-1131.0;368015;"['job38' 'job49' 'job18' 'job11' 'job12' 'job20' 'job30' 'job5' 'job50'
 'job14' 'job34' 'job45' 'job52' 'job43' 'job6' 'job40' 'job37' 'job0'
 'job41' 'job27' 'job16' 'job2' 'job24' 'job48' 'job33' 'job47' 'job7'
 'job15' 'job25' 'job36' 'job44' 'job10' 'job26' 'job35' 'job39' 'job9'
 'job46' 'job1' 'job13' 'job42' 'job19' 'job23' 'job21' 'job17' 'job31'
 'job51' 'job4' 'job28' 'job8' 'job3' 'job32' 'job29' 'job22']"
