;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;AdaptationMode;Problem;Instance;TryNr;RDMSeed;MinValue
213;213.0;213.0;213.0;213.0;;icdm;CEC;f27;3;217;3453.8205365420417
214;214.0;214.0;214.0;214.0;;icdm;CEC;f27;4;218;3424.3738348500865
215;215.0;215.0;215.0;215.0;;icdm;CEC;f27;5;219;3295.872988408248
216;216.0;216.0;216.0;216.0;;icdm;CEC;f27;6;220;3353.882377750937
217;217.0;217.0;217.0;217.0;;icdm;CEC;f27;7;221;3503.1382711277884
218;218.0;218.0;218.0;218.0;;icdm;CEC;f27;8;222;3335.5968739928867
219;219.0;219.0;219.0;219.0;;icdm;CEC;f27;9;223;3365.429563255913
220;220.0;220.0;220.0;220.0;;icdm;CEC;f27;10;224;3414.460373664189
221;221.0;221.0;221.0;221.0;;icdm;CEC;f27;11;225;3551.333354476469
222;222.0;222.0;222.0;222.0;;icdm;CEC;f27;12;226;3473.1492029771903
223;223.0;223.0;223.0;223.0;;icdm;CEC;f27;13;227;3382.484423825802
224;224.0;224.0;224.0;224.0;;icdm;CEC;f27;14;228;3394.48387306359
225;225.0;225.0;225.0;225.0;;icdm;CEC;f27;15;229;3406.6051479775765
226;226.0;226.0;226.0;226.0;;icdm;CEC;f27;16;230;3319.721094499128
227;227.0;227.0;227.0;227.0;;icdm;CEC;f27;17;231;3331.001099753737
228;228.0;228.0;228.0;228.0;;icdm;CEC;f27;18;232;3319.449680247464
229;229.0;229.0;229.0;229.0;;icdm;CEC;f27;19;233;3260.709682772565
230;230.0;230.0;230.0;230.0;;icdm;CEC;f27;20;234;3337.975051296783
231;231.0;231.0;231.0;231.0;;icdm;CEC;f27;21;235;3357.127611292364
232;232.0;232.0;232.0;232.0;;icdm;CEC;f27;22;236;3345.7563737982223
233;233.0;233.0;233.0;233.0;;icdm;CEC;f27;23;237;3336.933772950664
234;234.0;234.0;234.0;234.0;;icdm;CEC;f27;24;238;3501.706806059623
235;235.0;235.0;235.0;235.0;;icdm;CEC;f27;25;239;3344.0027857659243
236;236.0;236.0;236.0;236.0;;icdm;CEC;f27;26;240;3396.6948197608995
237;237.0;237.0;237.0;237.0;;icdm;CEC;f27;27;241;3412.55505310679
238;238.0;238.0;238.0;238.0;;icdm;CEC;f27;28;242;3314.2338541676017
239;239.0;239.0;239.0;239.0;;icdm;CEC;f27;29;243;3273.107996462169
240;240.0;240.0;240.0;;;rl;CEC;f9;0;124;1678.3992886763697
241;241.0;241.0;241.0;;;rl;CEC;f9;1;125;1627.0125907598888
242;242.0;242.0;242.0;;;rl;CEC;f9;2;126;1763.1254542932752
243;243.0;243.0;243.0;;;rl;CEC;f9;3;127;1335.3786429162446
244;244.0;244.0;244.0;;;rl;CEC;f9;4;128;1895.987882275032
245;245.0;245.0;245.0;;;rl;CEC;f9;5;129;1102.7829221367342
246;246.0;246.0;246.0;;;rl;CEC;f9;6;130;1311.2513395726062
247;247.0;247.0;247.0;;;rl;CEC;f9;7;131;1582.998168535784
248;248.0;248.0;248.0;;;rl;CEC;f9;8;132;1705.874342299076
249;249.0;249.0;249.0;;;rl;CEC;f9;9;133;1131.0476768697915
250;250.0;250.0;250.0;;;rl;CEC;f9;10;134;1600.5056285944156
251;251.0;251.0;251.0;;;rl;CEC;f9;11;135;1724.0968851599496
252;252.0;252.0;252.0;;;rl;CEC;f9;12;136;1363.2149292304896
253;253.0;253.0;253.0;;;rl;CEC;f9;13;137;1681.0195782809767
254;254.0;254.0;254.0;;;rl;CEC;f9;14;138;1253.6016186933002
255;255.0;255.0;255.0;;;rl;CEC;f9;15;139;1665.01728160191
256;256.0;256.0;256.0;;;rl;CEC;f9;16;140;1677.627475452988
257;257.0;257.0;257.0;;;rl;CEC;f9;17;141;1674.573314499057
258;258.0;258.0;258.0;;;rl;CEC;f9;18;142;1251.395620553915
259;259.0;259.0;259.0;;;rl;CEC;f9;19;143;1165.195903737364
260;260.0;260.0;260.0;;;rl;CEC;f9;20;144;1236.3255989178106
261;261.0;261.0;261.0;;;rl;CEC;f9;21;145;2031.2518622658672
262;262.0;262.0;262.0;;;rl;CEC;f9;22;146;1544.5833695473402
263;263.0;263.0;263.0;;;rl;CEC;f9;23;147;1776.9735135238627
264;264.0;264.0;264.0;;;rl;CEC;f9;24;148;1280.610984256424
265;265.0;265.0;265.0;;;rl;CEC;f9;25;149;2029.529687826605
266;266.0;266.0;266.0;;;rl;CEC;f9;26;150;1325.7604864512737
267;267.0;267.0;267.0;;;rl;CEC;f9;27;151;1581.0326037486268
268;268.0;268.0;268.0;;;rl;CEC;f9;28;152;1947.019609761576
269;269.0;269.0;269.0;;;rl;CEC;f9;29;153;1750.0886754607543
270;270.0;270.0;270.0;;;none;CEC;f9;0;154;1268.8237506778796
271;271.0;271.0;271.0;;;none;CEC;f9;1;155;1370.6851183031113
272;272.0;272.0;272.0;;;none;CEC;f9;2;156;1383.5129366581004
273;273.0;273.0;273.0;;;none;CEC;f9;3;157;2453.765642244813
274;274.0;274.0;274.0;;;none;CEC;f9;4;158;1378.9653217129564
275;275.0;275.0;275.0;;;none;CEC;f9;5;159;2054.3054239375824
