;_metric;time_this_iter_s;done;timesteps_total;episodes_total;training_iteration;trial_id;experiment_id;date;timestamp;time_total_s;pid;hostname;node_ip;time_since_restore;timesteps_since_restore;iterations_since_restore;warmup_time;config/adaptive_rate_mode;config/alg_name;config/crossover;config/cx_pb;config/eliminate_duplicates;config/functions;config/mut_pb;config/mutation;config/n_evals;config/n_parallelizations;config/obj_weights;config/parallelization_method;config/plot_solution;config/pop_size;config/pressure;config/print_iterations;config/print_results;config/problem_getter;config/sampling;config/seed;logdir
10;69149.0;89.1303882598877;False;;;1;98b2f_00010;6a8f0e8ca7d6489785f8ac05703be89a;2023-08-15_12-46-20;1692096380;89.1303882598877;44902;users.cfads.fh-bielefeld.de;10.134.17.12;89.1303882598877;0;1;0.0062897205352783;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.05;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b741386a0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00010_10_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.0500,mut_pb=0.0500,pop_size=5_2023-08-15_12-44-43
11;69859.0;92.81740403175354;False;;;1;98b2f_00011;7128c2d15056487a91b9c7c16de2252b;2023-08-15_12-46-30;1692096390;92.81740403175354;45236;users.cfads.fh-bielefeld.de;10.134.17.12;92.81740403175354;0;1;0.0065162181854248;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.95;False;['ta033'];0.6;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74133dc0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00011_11_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.9500,mut_pb=0.6000,pop_size=10,pres_2023-08-15_12-44-51
12;62091.0;6.149764537811279;False;;;1;98b2f_00012;5ca89b4c843749ec8da322fcedcf3bb3;2023-08-15_12-45-09;1692096309;6.149764537811279;45594;users.cfads.fh-bielefeld.de;10.134.17.12;6.149764537811279;0;1;0.0069489479064941;none;GA;<class 'pymoo.operators.crossover.pntx.TwoPointCrossover'>;0.95;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b741380d0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00012_12_crossover=class_pymoo_operators_crossover_pntx_TwoPointCrossover,cx_pb=0.9500,mut_pb=0.0500,pop_size=50,p_2023-08-15_12-44-57
13;65838.0;9.27029800415039;False;;;1;98b2f_00013;df43e5e8a4ab4941a4e7c9d58501c026;2023-08-15_12-45-19;1692096319;9.27029800415039;45870;users.cfads.fh-bielefeld.de;10.134.17.12;9.27029800415039;0;1;0.0065467357635498;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.95;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b74138fa0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00013_13_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.9500,mut_pb=0.0500,pop_size=10,pres_2023-08-15_12-45-03
14;67671.0;68.06274509429932;False;;;1;98b2f_00014;ad161fc99a8143b0a1059bce518ee269;2023-08-15_12-46-24;1692096384;68.06274509429932;46176;users.cfads.fh-bielefeld.de;10.134.17.12;68.06274509429932;0;1;0.0066280364990234;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.95;False;['ta033'];0.6;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b7413d760>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00014_14_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.9500,mut_pb=0.6000,pop_size=10,pres_2023-08-15_12-45-09
15;75183.0;194.502423286438;False;;;1;98b2f_00015;e473ca606ca942afbfc56773ee0cd84d;2023-08-15_12-48-37;1692096517;194.502423286438;46468;users.cfads.fh-bielefeld.de;10.134.17.12;194.502423286438;0;1;0.006005048751831;none;GA;<class 'pymoo.operators.crossover.pntx.TwoPointCrossover'>;0.95;False;['ta033'];0.4;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b7413dee0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00015_15_crossover=class_pymoo_operators_crossover_pntx_TwoPointCrossover,cx_pb=0.9500,mut_pb=0.4000,pop_size=10,p_2023-08-15_12-45-16
16;71207.0;38.83036780357361;False;;;1;98b2f_00016;6d5e160330e0484d850b7924bb2560ec;2023-08-15_12-46-08;1692096368;38.83036780357361;46759;users.cfads.fh-bielefeld.de;10.134.17.12;38.83036780357361;0;1;0.0067384243011474;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.6;False;['ta033'];0.05;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;20;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b740c26a0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00016_16_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.6000,mut_pb=0.0500,pop_size=2_2023-08-15_12-45-22
17;61358.0;17.752439260482788;False;;;1;98b2f_00017;8f25b05d433740418ede7fea697c7bc0;2023-08-15_12-45-53;1692096353;17.752439260482788;47072;users.cfads.fh-bielefeld.de;10.134.17.12;17.752439260482788;0;1;0.0057384967803955;none;GA;<class 'pymoo.operators.crossover.pntx.TwoPointCrossover'>;0.95;False;['ta033'];0.4;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;50;2;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b740c2e20>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00017_17_crossover=class_pymoo_operators_crossover_pntx_TwoPointCrossover,cx_pb=0.9500,mut_pb=0.4000,pop_size=50,p_2023-08-15_12-45-29
18;75678.0;98.047954082489;False;;;1;98b2f_00018;9002a66979e44f71a4e5c5f6bfec3196;2023-08-15_12-47-20;1692096440;98.047954082489;47343;users.cfads.fh-bielefeld.de;10.134.17.12;98.047954082489;0;1;0.0069851875305175;none;GA;<class 'pymoo.operators.crossover.pntx.SinglePointCrossover'>;0.95;False;['ta033'];0.4;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b740c45e0>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00018_18_crossover=class_pymoo_operators_crossover_pntx_SinglePointCrossover,cx_pb=0.9500,mut_pb=0.4000,pop_size=1_2023-08-15_12-45-35
19;70439.0;60.79022860527039;False;;;1;98b2f_00019;66a42d4ead2c40379b3d4a7474692ad2;2023-08-15_12-46-49;1692096409;60.79022860527039;47651;users.cfads.fh-bielefeld.de;10.134.17.12;60.79022860527039;0;1;0.0069005489349365;none;GA;<class 'pymoo.operators.crossover.ux.UniformCrossover'>;0.95;False;['ta033'];0.6;<class 'custom_ga_operators.FlipMutation'>;3000;4;[1];multi_threading;False;10;10;False;False;<class 'permutation_flow_shop_default.PFSSP'>;<pymoo.operators.sampling.rnd.PermutationRandomSampling object at 0x7f1b740c4d60>;;/home/voll_lu/ray_results/objective_2023-08-15_12-43-34/objective_98b2f_00019_19_crossover=class_pymoo_operators_crossover_ux_UniformCrossover,cx_pb=0.9500,mut_pb=0.6000,pop_size=10,pres_2023-08-15_12-45-42
