,0,1,2,3,4,5,6,7
0,0.0,134.0,3.0,26.0,51.0,58.0,69.0,74.0
1,136.0,0.0,134.0,109.5,72.0,74.0,112.5,50.0
2,2.0,131.0,0.0,23.0,53.0,55.0,66.0,71.0
3,26.5,108.0,24.5,0.0,50.0,32.0,70.5,48.0
4,76.5,95.5,79.5,75.0,0.0,64.5,145.5,40.5
5,62.0,76.0,60.0,35.5,43.0,0.0,81.0,16.0
6,46.0,87.5,44.0,47.0,97.0,54.0,0.0,70.0
7,86.0,60.0,84.0,59.5,27.0,24.0,105.0,0.0
